# index   rtt_flux1   rtt_flux2
501 0.01832 0.01832
502 0.01832 0.01832
503 0.01832 0.01832
504 0.01832 0.01832
505 0.01832 0.01832
506 0.01832 0.05832
507 0.01832 0.01832
508 0.01832 0.01832
509 0.01832 0.05832
510 0.01832 0.01832
511 0.01832 0.01832
512 0.01832 0.05832
513 0.01832 0.01832
514 0.01832 0.01832
515 0.01832 0.05832
516 0.01832 0.01832
517 0.01832 0.01832
518 0.01832 0.05832
519 0.01832 0.01832
520 0.01832 0.01832
521 0.01832 0.05832
522 0.01832 0.01832
523 0.01832 0.05832
524 0.01832 0.01832
525 0.01832 0.05832
526 0.01832 0.05832
527 0.01832 0.05832
528 0.01832 0.05832
529 0.01832 0.01832
530 0.01832 0.05832
531 0.01832 0.01832
532 0.01832 0.05832
533 0.01832 0.01832
534 0.01832 0.01832
535 0.01832 0.05832
536 0.01832 0.01832
537 0.01832 0.01832
538 0.01832 0.05832
539 0.01832 0.01832
540 0.01832 0.01832
541 0.01832 0.01832
542 0.01832 0.01832
543 0.01832 0.01832
544 0.01832 0.01832
545 0.01832 0.01832
546 0.01832 0.01832
547 0.01832 0.01832
548 0.01832 0.01832
549 0.01832 0.01832
550 0.01832 0.01832
551 0.01832 0.05832
552 0.01832 0.01832
553 0.01832 0.01832
554 0.01832 0.05832
555 0.01832 0.01832
556 0.01832 0.01832
557 0.01832 0.05832
558 0.01832 0.01832
559 0.01832 0.01832
560 0.01832 0.05832
561 0.01832 0.01832
562 0.01832 0.01832
563 0.01832 0.05832
564 0.01832 0.01832
565 0.01832 0.01832
566 0.01832 0.05832
567 0.01832 0.01832
568 0.01832 0.01832
569 0.01832 0.05832
570 0.01832 0.01832
571 0.01832 0.05832
572 0.01832 0.01832
573 0.01832 0.05832
574 0.01832 0.05832
575 0.01832 0.05832
576 0.01832 0.01832
577 0.01832 0.05832
578 0.01832 0.01832
579 0.01832 0.05832
580 0.01832 0.01832
581 0.01832 0.01832
582 0.01832 0.05832
583 0.01832 0.01832
584 0.01832 0.01832
585 0.01832 0.05832
586 0.01832 0.01832
587 0.01832 0.01832
588 0.01832 0.05832
589 0.01832 0.01832
590 0.01832 0.01832
591 0.01832 0.01832
592 0.01832 0.01832
593 0.01832 0.01832
594 0.01832 0.01832
595 0.01832 0.01832
596 0.01832 0.01832
597 0.01832 0.01832
598 0.01832 0.01832
599 0.01832 0.05832
600 0.01832 0.01832
601 0.01832 0.01832
602 0.01832 0.05832
603 0.01832 0.01832
604 0.01832 0.01832
605 0.01832 0.05832
606 0.01832 0.01832
607 0.01832 0.01832
608 0.01832 0.05832
609 0.01832 0.01832
610 0.01832 0.01832
611 0.01832 0.05832
612 0.01832 0.01832
613 0.01832 0.01832
614 0.01832 0.05832
615 0.01832 0.01832
616 0.01832 0.01832
617 0.01832 0.05832
618 0.01832 0.01832
619 0.01832 0.01832
620 0.01832 0.05832
621 0.01832 0.01832
622 0.01832 0.05832
623 0.01832 0.01832
